Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2019-12-30 23:59:42+00:00,1211799052033167361,"Global warming could render the assets of many financial companies worthless, Mark Carney warns https://t.co/7hfgKYlxME via @nationalpost",cheesebun1950,False,438,"Ontario, Canada",0,0,0,
2019-12-30 23:59:41+00:00,1211799048338001920,"#2020WillBeTheYearFor  ➰L❤️VE 4 Oneself &amp; Others 
➰COMPASSION 4 Others
➰UNITY 
➰Involvement &amp; Concern 
4 CLIMATE CHANGE &amp; GLOBAL WARMING 
➰🙏➰🙏🏽➰🙏🏻➰",carmenlidia13,False,1657,"New York Mills, NY",0,1,2,
2019-12-30 23:58:05+00:00,1211798644405493761,@Jvyhova Global warming is real,peylocd,False,72,My Crib,0,0,0,
2019-12-30 23:58:03+00:00,1211798636541042688,"@QuentinDempster @moir_alan @AngusTaylorMP @AngusTaylorMP here is the indisputable facts on global warming. This why our country is burning out of control. The  Fauna and Flora may never be the same again. #endofcoal 
https://t.co/I6M5aniFUt",H2Ninja,False,781,,0,0,0,
2019-12-30 23:57:28+00:00,1211798487555170304,"Many worry about #GlobalWarming!  Fact is: life on #earth will cease when #water is no longer available, NOT because the sea's RISE a few feet or the temp. increase's a  few degree's!  A few 100 thousand or million years from NOW, mankind still  around should WORRY! #tcot",MrMeares,False,120,US Pacific Northwest Wine Country!,0,0,0,
2019-12-30 23:56:28+00:00,1211798235192451072,"@HarvardBiz But there has been no climate change, global warming or sea level rise where I live?????",BroussardCaseyK,False,11,,0,0,1,
2019-12-30 23:56:24+00:00,1211798221498077184,@JaggerMickOZ @medakguy1968 @drwaheeduddin global warming 😡,clashgany12,False,576,,0,0,0,
2019-12-30 23:56:13+00:00,1211798174383296515,"generational wealth that i started and raise them to be the intellectuals who'll dismantle the patriarchy and of course, capitalism and what it gave rise to: the greedy, global warming, all that stuff",firstlight_VII,False,18,pampanga | denver ,1,0,1,
2019-12-30 23:56:05+00:00,1211798139465687041,@benshapiro Thoughts like...people with coastal properties can just sell them if flooded due to global warming?Stupid thoughts like that?,kingpukeduke,False,51,,0,0,0,
2019-12-30 23:55:58+00:00,1211798111271567360,"@Connundrum54 @RodS108443078 Arsonists, lightning strikes, global warming and (according to Israel Folau) God?

You choose. 😁",geoff_baby,False,487,Australia,1,0,0,
2019-12-30 23:55:56+00:00,1211798104594354176,"By politics I mean bigger ideas, like spec ops: the line (war bad) and DOOM 2016 (argent energy = energy from coal/fossil fuels re: global warming) or racism in the Witcher.

An even hotter take is that stories aren't compelling if they don't make some sort of commentary.
2/2",chris_owen_delo,False,36,"St. Catharines, Ontario",0,0,2,
2019-12-30 23:55:22+00:00,1211797960884920321,Why the climate change problem is starting to look too big to solve - Anchorage Daily News #globalwarming #sustainability https://t.co/NbTlXowZh6,simondweiner,False,5742,"New York, NY",0,0,0,
2019-12-30 23:55:16+00:00,1211797935899521029,if @KylieJenner stops global warming i’ll buy a lip kit,taycruise_,False,342,,0,0,6,
2019-12-30 23:55:03+00:00,1211797879146205184,"The first campaign about global warming I was involved in was in 1991, with Environmental Youth Alliance. We had a office at the ACF then later Friends if the Earth in Fitzroy.",anintegralstate,False,4391,"Gadigal Land: Sydney, NSW",3,3,24,
2019-12-30 23:52:55+00:00,1211797341629374464,"@itmiller_ian @RayLehr Ian, I hurt for your firefighters, especially those who are volunteers. What is it going to take for the world to wake up to the fact that global warming is real and costing lives!",AndySeybold,False,944,"Phoenix, AZ",1,0,1,
2019-12-30 23:52:21+00:00,1211797200319238150,"Um, it's the bitter end of December, and we're having a thunderstorm?!
Not complaining, but...
#globalwarming #crazyweather",ladycowparsley,False,1278,Avalonia,0,0,0,
2019-12-30 23:51:17+00:00,1211796933309816833,Y’all this isn’t global warming it’s just the heat miser being a dick and the cold miser not wanting to deal with it anymore,ElkayEZS8,False,21,,0,0,0,
2019-12-30 23:51:06+00:00,1211796887373778947,"Now before some of you go ""Global Warming Hoax""--please just look over the data from the NOAA--NASA--data web sites. Temp readings are just data. Many sensors like this Live weathernow site. Here is a snap of today location KAMC TV. https://t.co/IIBsLBUxm8",rrobertswxlab,False,5587,West Texas,1,0,3,"[Photo(previewUrl='https://pbs.twimg.com/media/ENEq16AW4AMhoLD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENEq16AW4AMhoLD?format=jpg&name=large')]"
2019-12-30 23:50:59+00:00,1211796857644601345,"@WBrettWilson @globalnews ""One biologist said global warming in Canada is effectively irreversible""......... One physical chemist says ""that's absolute nonsense""..........",aldavidson99,False,96,,0,0,0,
2019-12-30 23:50:50+00:00,1211796818163462144,"@dionysus60_ Also, f*** you for being OOO today. I guess global warming can WAIT, you selfish b**** ♥️ https://t.co/oPKgjzzR9E",SeraRica,False,83,Norf,0,0,1,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/ENEqx8GUwAUXkMB.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/ENEqx8GUwAUXkMB.mp4', bitrate=0)])]"
2019-12-30 23:50:40+00:00,1211796777399193601,"#GlobalWarming
https://t.co/112yrFBeLP https://t.co/D3PexHPChC",iamandrewluca,False,533,Truman Land,0,3,7,"[Photo(previewUrl='https://pbs.twimg.com/media/ENEqvkqXYAEEzQM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENEqvkqXYAEEzQM?format=jpg&name=large')]"
2019-12-30 23:50:22+00:00,1211796700706172929,@EnvDefenseFund Do you people know how silly you sound?  Global warming will only occur when God comes back.,GLestrr,False,20,,0,1,1,
2019-12-30 23:49:30+00:00,1211796484150243328,@X3MayraXP He was taken by global warming,HeroSt3,False,239,,0,0,1,
2019-12-30 23:49:24+00:00,1211796460129464320,"Greta Thunberg, Sir David Attenborough meet for first time, talk #CLIMATE change     - CNET https://t.co/mUfdQnFVDo  #GlobalWarming #climatechange",gridpointwx,False,233,"New York, USA",0,1,0,
2019-12-30 23:49:01+00:00,1211796362867757056,#amics #GlobalWarming https://t.co/BQIWZ8Ckaf,carlotaceron,False,693,Igualada,0,0,2,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1211796295918215170/pu/img/poX09Ztd1MeKy5tR.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1211796295918215170/pu/pl/PA3SpbgQoaj8bQyS.m3u8?tag=10', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1211796295918215170/pu/vid/320x568/PqltrzMGy0HJfQ1O.mp4?tag=10', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1211796295918215170/pu/vid/360x640/j2EkY0V3aZvaeRJG.mp4?tag=10', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1211796295918215170/pu/vid/720x1280/_z-w9Je68f0b-cWe.mp4?tag=10', bitrate=2176000)], duration=12.577, views=235)]"
2019-12-30 23:48:55+00:00,1211796338200993802,"Greta Thunberg, Sir David Attenborough meet for first time, talk #CLIMATE change     - CNET https://t.co/iF69ZxScSt #GPWX #GlobalWarming #climatechange",TimMelino,False,11011,NY,0,1,0,
2019-12-30 23:47:56+00:00,1211796090112098311,Global Warming: “Fixing the Climate Data around the Policy” https://t.co/IL7ZC0Fy5i via @grtvnews,BlueEnergi,False,93,Scandinavia,0,0,0,
2019-12-30 23:47:20+00:00,1211795940434034688,"Can people stop acting shocked and elated that they can have their windows open at the end of Dec? Every time I hear that shit, all I hear is your selfish ass loves the effects of #GlobalWarming",BabZacharias,False,30,"Des Moines, IA",0,1,0,
2019-12-30 23:47:08+00:00,1211795886948286465,SPOILER ALERT: GLOBAL WARMING IS A SHAM...,SullJack48,False,1449,"Goolwa, South Australia",0,0,0,
2019-12-30 23:46:14+00:00,1211795662108549122,"Record fire in Australia
Record storm in Northern USA
GLOBAL WARMING IS BULLSHIT
IT'S NATURAL AND ALL YOU TREE HUGGERS ARE IDIOTS",RobertWendel12,False,169,Gainesville FL,0,0,0,
2019-12-30 23:46:12+00:00,1211795651643822081,"“It is too late to leave.”

Warnings for various parts of New South Wales in Australia have been being posted several times an hour throughout the day.

Global warming is contributing to out-of-control brush fires extending a thousand miles along the coast.

#NSWfires 🧵1/x",leahmcelrath,False,143677,Houston and NYC,47,482,542,
2019-12-30 23:45:36+00:00,1211795503039631361,"@kevpluck @zakmckrakken @ZLabe @GretaThunberg This here and now, global warming. 
https://t.co/I6M5anAhj3",H2Ninja,False,781,,2,7,12,
2019-12-30 23:45:30+00:00,1211795479236771840,@MadFckingWitch Coal is the problem. I for one think we should dig it all up and burn it now to stop global warming once and for all. I’m sick of coal causing fires.,L0adN,False,56,,0,0,1,
